날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-07-01 01,부산 중구,광복동,221112,.003,.3,.028,.008,6,4
2020-07-01 02,부산 중구,광복동,221112,.003,.3,.026,.008,7,7
2020-07-01 03,부산 중구,광복동,221112,.004,.4,.024,.009,5,7
2020-07-01 04,부산 중구,광복동,221112,.003,.4,.026,.006,5,2
2020-07-01 05,부산 중구,광복동,221112,.003,.3,.028,.004,5,2
2020-07-01 06,부산 중구,광복동,221112,.002,.3,.025,.005,4,3
2020-07-01 07,부산 중구,광복동,221112,.002,.3,.024,.008,4,3
2020-07-01 08,부산 중구,광복동,221112,.003,.3,.021,.013,6,6
2020-07-01 09,부산 중구,광복동,221112,.003,.3,.019,.012,9,8
2020-07-01 10,부산 중구,광복동,221112,.003,.3,.011,.017,7,4
2020-07-01 11,부산 중구,광복동,221112,.003,.4,.014,.017,4,3
2020-07-01 12,부산 중구,광복동,221112,.004,.3,.018,.016,22,6
2020-07-01 13,부산 중구,광복동,221112,.003,.3,.03,.011,13,9
2020-07-01 14,부산 중구,광복동,221112,.003,.3,.032,.012,12,6
2020-07-01 15,부산 중구,광복동,221112,.003,.3,.034,.013,14,8
2020-07-01 16,부산 중구,광복동,221112,.003,.3,.033,.014,16,8
2020-07-01 17,부산 중구,광복동,221112,.003,.3,.04,.01,10,3
2020-07-01 18,부산 중구,광복동,221112,.003,.3,.038,.013,9,3
2020-07-01 19,부산 중구,광복동,221112,.003,.3,.033,.018,7,5
2020-07-01 20,부산 중구,광복동,221112,.003,.3,.03,.02,8,8
2020-07-01 21,부산 중구,광복동,221112,.003,.3,.03,.019,8,8
2020-07-01 22,부산 중구,광복동,221112,.003,.3,.037,.014,7,10
2020-07-01 23,부산 중구,광복동,221112,.004,.3,.031,.018,18,10
2020-07-01 24,부산 중구,광복동,221112,.004,.3,.024,.02,12,11
2020-07-02 01,부산 중구,광복동,221112,.004,.3,.018,.022,19,11
2020-07-02 02,부산 중구,광복동,221112,.003,.3,.018,.019,20,18
2020-07-02 03,부산 중구,광복동,221112,.004,.3,.017,.017,20,13
2020-07-02 04,부산 중구,광복동,221112,.004,.3,.014,.017,20,12
2020-07-02 05,부산 중구,광복동,221112,.003,.4,.015,.014,22,12
2020-07-02 06,부산 중구,광복동,221112,.004,.4,.007,.019,16,10
2020-07-02 07,부산 중구,광복동,221112,.004,.4,.006,.018,26,8
2020-07-02 08,부산 중구,광복동,221112,.005,.4,.007,.019,28,17
2020-07-02 09,부산 중구,광복동,221112,.004,.4,.01,.022,28,21
2020-07-02 10,부산 중구,광복동,221112,.007,.4,.025,.024,36,23
2020-07-02 11,부산 중구,광복동,221112,.011,.5,.054,.02,44,28
2020-07-02 12,부산 중구,광복동,221112,.006,.4,.054,.011,41,26
2020-07-02 13,부산 중구,광복동,221112,.005,.4,.065,.015,30,19
2020-07-02 14,부산 중구,광복동,221112,.004,.4,.043,.014,38,31
2020-07-02 15,부산 중구,광복동,221112,.003,.3,.035,.013,33,13
2020-07-02 16,부산 중구,광복동,221112,.004,.3,.035,.014,16,11
2020-07-02 17,부산 중구,광복동,221112,.004,.3,.034,.013,17,8
2020-07-02 18,부산 중구,광복동,221112,.003,.3,.03,.012,15,7
2020-07-02 19,부산 중구,광복동,221112,.004,.3,.024,.015,14,8
2020-07-02 20,부산 중구,광복동,221112,.004,.3,.016,.021,12,11
2020-07-02 21,부산 중구,광복동,221112,.004,.3,.014,.025,13,12
2020-07-02 22,부산 중구,광복동,221112,.004,.3,.01,.023,13,
2020-07-02 23,부산 중구,광복동,221112,.004,.3,.007,.023,12,7
2020-07-02 24,부산 중구,광복동,221112,.004,.3,.008,.022,10,9
2020-07-03 01,부산 중구,광복동,221112,.004,.3,.021,.011,9,9
2020-07-03 02,부산 중구,광복동,221112,.006,.3,.026,.01,5,6
2020-07-03 03,부산 중구,광복동,221112,.007,.3,.033,.01,4,5
2020-07-03 04,부산 중구,광복동,221112,.007,.3,.031,.011,9,7
2020-07-03 05,부산 중구,광복동,221112,.005,.3,.027,.012,7,6
2020-07-03 06,부산 중구,광복동,221112,.004,.3,.026,.011,6,8
2020-07-03 07,부산 중구,광복동,221112,.004,.3,.022,.014,10,9
2020-07-03 08,부산 중구,광복동,221112,.004,.3,.02,.015,,7
2020-07-03 09,부산 중구,광복동,221112,.004,.3,.02,.016,16,9
2020-07-03 10,부산 중구,광복동,221112,.004,.3,.018,.016,22,9
2020-07-03 11,부산 중구,광복동,221112,.003,.3,.022,.014,18,5
2020-07-03 12,부산 중구,광복동,221112,.003,.3,.024,.012,21,4
2020-07-03 13,부산 중구,광복동,221112,.002,.3,.026,.01,13,7
2020-07-03 14,부산 중구,광복동,221112,.003,.3,.025,.011,11,9
2020-07-03 15,부산 중구,광복동,221112,.003,.3,.026,.01,16,9
2020-07-03 16,부산 중구,광복동,221112,.003,.3,.026,.009,12,7
2020-07-03 17,부산 중구,광복동,221112,.003,.3,.023,.011,11,2
2020-07-03 18,부산 중구,광복동,221112,.003,.3,.02,.013,14,4
2020-07-03 19,부산 중구,광복동,221112,.003,.3,.016,.015,6,7
2020-07-03 20,부산 중구,광복동,221112,.003,.3,.02,.012,9,6
2020-07-03 21,부산 중구,광복동,221112,.003,.3,.022,.009,15,7
2020-07-03 22,부산 중구,광복동,221112,.004,.3,.02,.01,12,17
2020-07-03 23,부산 중구,광복동,221112,.003,.3,.02,.007,15,12
2020-07-03 24,부산 중구,광복동,221112,.002,.3,.021,.006,7,9
2020-07-04 01,부산 중구,광복동,221112,.002,.3,.022,.005,7,5
2020-07-04 02,부산 중구,광복동,221112,.002,.3,.028,.004,8,6
2020-07-04 03,부산 중구,광복동,221112,.002,.3,.029,.004,6,3
2020-07-04 04,부산 중구,광복동,221112,.002,.3,.03,.004,2,2
2020-07-04 05,부산 중구,광복동,221112,.002,.3,.029,.005,2,2
2020-07-04 06,부산 중구,광복동,221112,.002,.3,.028,.005,2,6
2020-07-04 07,부산 중구,광복동,221112,.002,.3,.025,.009,5,6
2020-07-04 08,부산 중구,광복동,221112,.002,.3,.024,.009,8,6
2020-07-04 09,부산 중구,광복동,221112,.002,.3,.028,.008,8,6
2020-07-04 10,부산 중구,광복동,221112,.002,.3,.033,.006,8,3
2020-07-04 11,부산 중구,광복동,221112,.002,.3,.034,.007,5,2
2020-07-04 12,부산 중구,광복동,221112,.003,.3,.035,.011,5,5
2020-07-04 13,부산 중구,광복동,221112,.003,.3,.032,.011,9,9
2020-07-04 14,부산 중구,광복동,221112,.003,.3,.027,.013,12,11
2020-07-04 15,부산 중구,광복동,221112,.003,.3,.021,.014,19,10
2020-07-04 16,부산 중구,광복동,221112,.003,.3,.022,.013,11,10
2020-07-04 17,부산 중구,광복동,221112,.003,.3,.02,.015,18,11
2020-07-04 18,부산 중구,광복동,221112,.003,.3,.022,.013,6,6
2020-07-04 19,부산 중구,광복동,221112,.003,.3,.021,.015,7,3
2020-07-04 20,부산 중구,광복동,221112,.005,.3,.014,.02,8,7
2020-07-04 21,부산 중구,광복동,221112,.008,.3,.008,.023,10,11
2020-07-04 22,부산 중구,광복동,221112,.009,.4,.006,.025,21,12
2020-07-04 23,부산 중구,광복동,221112,.006,.3,.015,.023,28,17
2020-07-04 24,부산 중구,광복동,221112,.005,.3,.022,.019,14,2
2020-07-05 01,부산 중구,광복동,221112,.005,.3,.021,.019,7,2
2020-07-05 02,부산 중구,광복동,221112,.004,.3,.022,.016,6,2
2020-07-05 03,부산 중구,광복동,221112,.004,.3,.023,.013,7,2
2020-07-05 04,부산 중구,광복동,221112,.004,.3,.02,.013,10,4
2020-07-05 05,부산 중구,광복동,221112,.003,.3,.02,.011,15,11
2020-07-05 06,부산 중구,광복동,221112,.004,.3,.01,.019,16,16
2020-07-05 07,부산 중구,광복동,221112,.004,.4,.014,.016,24,9
2020-07-05 08,부산 중구,광복동,221112,.004,.3,.018,.013,17,8
2020-07-05 09,부산 중구,광복동,221112,.004,.3,.022,.011,15,9
2020-07-05 10,부산 중구,광복동,221112,.004,.3,.031,.011,18,11
2020-07-05 11,부산 중구,광복동,221112,.004,.4,.033,.012,24,13
2020-07-05 12,부산 중구,광복동,221112,.004,.4,.03,.015,31,24
2020-07-05 13,부산 중구,광복동,221112,.005,.3,.032,.015,33,18
2020-07-05 14,부산 중구,광복동,221112,.005,.4,.038,.013,26,16
2020-07-05 15,부산 중구,광복동,221112,.004,.5,.043,.011,24,21
2020-07-05 16,부산 중구,광복동,221112,.004,.4,.036,.014,22,15
2020-07-05 17,부산 중구,광복동,221112,.004,.3,.033,.014,22,25
2020-07-05 18,부산 중구,광복동,221112,.004,.3,.026,.018,15,15
2020-07-05 19,부산 중구,광복동,221112,.004,.3,.031,.016,11,5
2020-07-05 20,부산 중구,광복동,221112,.003,.3,.03,.014,11,7
2020-07-05 21,부산 중구,광복동,221112,.004,.3,.018,.022,11,10
2020-07-05 22,부산 중구,광복동,221112,.005,.3,.014,.025,11,10
2020-07-05 23,부산 중구,광복동,221112,.004,.3,.014,.024,11,8
2020-07-05 24,부산 중구,광복동,221112,.004,.3,.016,.023,,7
2020-07-06 01,부산 중구,광복동,221112,.004,.3,.02,.017,10,9
2020-07-06 02,부산 중구,광복동,221112,.004,.3,.012,.022,7,8
2020-07-06 03,부산 중구,광복동,221112,.004,.3,.013,.019,8,5
2020-07-06 04,부산 중구,광복동,221112,.003,.3,.016,.014,10,4
2020-07-06 05,부산 중구,광복동,221112,.004,.3,.006,.023,10,5
2020-07-06 06,부산 중구,광복동,221112,.006,.3,.005,.021,17,15
2020-07-06 07,부산 중구,광복동,221112,.004,.4,.01,.019,17,10
2020-07-06 08,부산 중구,광복동,221112,.006,.4,.005,.021,16,16
2020-07-06 09,부산 중구,광복동,221112,.006,.4,.005,.024,24,17
2020-07-06 10,부산 중구,광복동,221112,.006,.4,.006,.026,37,23
2020-07-06 11,부산 중구,광복동,221112,.006,.4,.013,.024,38,20
2020-07-06 12,부산 중구,광복동,221112,.004,.4,.024,.021,32,18
2020-07-06 13,부산 중구,광복동,221112,.004,.4,.022,.022,34,26
2020-07-06 14,부산 중구,광복동,221112,.003,.4,.016,.023,17,13
2020-07-06 15,부산 중구,광복동,221112,.004,.4,.014,.024,16,13
2020-07-06 16,부산 중구,광복동,221112,,,,,21,16
2020-07-06 17,부산 중구,광복동,221112,,,,,27,12
2020-07-06 18,부산 중구,광복동,221112,.003,.4,.015,.022,19,13
2020-07-06 19,부산 중구,광복동,221112,.003,.4,.017,.021,,12
2020-07-06 20,부산 중구,광복동,221112,.003,.4,.018,.018,,17
2020-07-06 21,부산 중구,광복동,221112,.003,.4,.014,.019,16,
2020-07-06 22,부산 중구,광복동,221112,.003,.4,.01,.02,15,17
2020-07-06 23,부산 중구,광복동,221112,.003,.4,.015,.017,13,17
2020-07-06 24,부산 중구,광복동,221112,.003,.4,.025,.01,13,12
2020-07-07 01,부산 중구,광복동,221112,.003,.4,.021,.01,10,12
2020-07-07 02,부산 중구,광복동,221112,.002,.4,.028,.008,11,12
2020-07-07 03,부산 중구,광복동,221112,.003,.4,.03,.008,12,11
2020-07-07 04,부산 중구,광복동,221112,.003,.4,.03,.008,8,7
2020-07-07 05,부산 중구,광복동,221112,.002,.4,.029,.007,7,5
2020-07-07 06,부산 중구,광복동,221112,.002,.4,.026,.008,11,9
2020-07-07 07,부산 중구,광복동,221112,.003,.4,.018,.014,12,6
2020-07-07 08,부산 중구,광복동,221112,.003,.5,.01,.019,20,15
2020-07-07 09,부산 중구,광복동,221112,.004,.5,.007,.02,25,25
2020-07-07 10,부산 중구,광복동,221112,.004,.4,.014,.019,33,13
2020-07-07 11,부산 중구,광복동,221112,.004,.4,.019,.016,24,20
2020-07-07 12,부산 중구,광복동,221112,.004,.4,.021,.015,15,10
2020-07-07 13,부산 중구,광복동,221112,.003,.4,.031,.015,22,12
2020-07-07 14,부산 중구,광복동,221112,.003,.4,.039,.01,19,15
2020-07-07 15,부산 중구,광복동,221112,.003,.4,.04,.011,15,7
2020-07-07 16,부산 중구,광복동,221112,.003,.4,.034,.016,15,8
2020-07-07 17,부산 중구,광복동,221112,.003,.4,.041,.012,13,9
2020-07-07 18,부산 중구,광복동,221112,.003,.4,.041,.011,14,9
2020-07-07 19,부산 중구,광복동,221112,.003,.4,.039,.014,9,8
2020-07-07 20,부산 중구,광복동,221112,.003,.4,.044,.01,10,8
2020-07-07 21,부산 중구,광복동,221112,.003,.4,.044,.008,7,9
2020-07-07 22,부산 중구,광복동,221112,.003,.4,.038,.01,5,4
2020-07-07 23,부산 중구,광복동,221112,.003,.4,.041,.009,8,2
2020-07-07 24,부산 중구,광복동,221112,.003,.4,.037,.01,8,7
2020-07-08 01,부산 중구,광복동,221112,.003,.4,.03,.013,8,7
2020-07-08 02,부산 중구,광복동,221112,.003,.4,.034,.01,18,6
2020-07-08 03,부산 중구,광복동,221112,.002,.4,.04,.006,10,9
2020-07-08 04,부산 중구,광복동,221112,.002,.4,.039,.005,18,20
2020-07-08 05,부산 중구,광복동,221112,.002,.4,.036,.005,27,16
2020-07-08 06,부산 중구,광복동,221112,.002,.4,.033,.006,25,23
2020-07-08 07,부산 중구,광복동,221112,.002,.4,.03,.008,21,18
2020-07-08 08,부산 중구,광복동,221112,.002,.4,.034,.008,31,24
2020-07-08 09,부산 중구,광복동,221112,.002,.4,.038,.01,24,
2020-07-08 10,부산 중구,광복동,221112,.003,.5,.03,.016,31,16
2020-07-08 11,부산 중구,광복동,221112,.003,.4,.029,.017,36,21
2020-07-08 12,부산 중구,광복동,221112,.004,.4,.033,.017,36,28
2020-07-08 13,부산 중구,광복동,221112,.004,.4,.024,.014,38,24
2020-07-08 14,부산 중구,광복동,221112,.004,.4,.023,.015,24,22
2020-07-08 15,부산 중구,광복동,221112,.004,.5,.031,.017,28,21
2020-07-08 16,부산 중구,광복동,221112,.004,.5,.044,.02,37,22
2020-07-08 17,부산 중구,광복동,221112,.005,.6,.034,.022,45,32
2020-07-08 18,부산 중구,광복동,221112,.005,.5,.033,.022,37,39
2020-07-08 19,부산 중구,광복동,221112,.004,.4,.035,.022,30,30
2020-07-08 20,부산 중구,광복동,221112,.004,.5,.035,.025,33,28
2020-07-08 21,부산 중구,광복동,221112,.004,.5,.042,.021,36,37
2020-07-08 22,부산 중구,광복동,221112,.004,.4,.034,.02,33,34
2020-07-08 23,부산 중구,광복동,221112,.004,.4,.031,.015,33,30
2020-07-08 24,부산 중구,광복동,221112,.004,.4,.021,.02,25,19
2020-07-09 01,부산 중구,광복동,221112,.004,.4,.021,.022,29,23
2020-07-09 02,부산 중구,광복동,221112,.004,.4,.023,.022,33,29
2020-07-09 03,부산 중구,광복동,221112,.004,.4,.036,.015,39,34
2020-07-09 04,부산 중구,광복동,221112,.003,.4,.043,.013,34,37
2020-07-09 05,부산 중구,광복동,221112,.003,.4,.045,.011,23,24
2020-07-09 06,부산 중구,광복동,221112,.003,.4,.041,.013,24,22
2020-07-09 07,부산 중구,광복동,221112,.003,.4,.031,.019,28,20
2020-07-09 08,부산 중구,광복동,221112,.003,.4,.034,.017,25,17
2020-07-09 09,부산 중구,광복동,221112,.003,.4,.036,.017,21,17
2020-07-09 10,부산 중구,광복동,221112,.003,.4,.035,.017,20,15
2020-07-09 11,부산 중구,광복동,221112,.003,.4,.04,.017,34,26
2020-07-09 12,부산 중구,광복동,221112,.003,.4,.049,.012,31,22
2020-07-09 13,부산 중구,광복동,221112,.003,.4,.05,.014,32,22
2020-07-09 14,부산 중구,광복동,221112,.004,.4,.041,.021,31,17
2020-07-09 15,부산 중구,광복동,221112,.003,.4,.046,.014,35,26
2020-07-09 16,부산 중구,광복동,221112,.003,.4,.043,.012,24,15
2020-07-09 17,부산 중구,광복동,221112,.003,.4,.041,.013,20,16
2020-07-09 18,부산 중구,광복동,221112,.003,.4,.042,.012,22,17
2020-07-09 19,부산 중구,광복동,221112,.003,.4,.041,.014,18,12
2020-07-09 20,부산 중구,광복동,221112,.003,.4,.037,.015,21,16
2020-07-09 21,부산 중구,광복동,221112,.003,.4,.036,.013,18,19
2020-07-09 22,부산 중구,광복동,221112,.003,.4,.027,.019,9,13
2020-07-09 23,부산 중구,광복동,221112,.003,.4,.039,.011,14,12
2020-07-09 24,부산 중구,광복동,221112,.003,.4,.043,.008,13,12
2020-07-10 01,부산 중구,광복동,221112,.002,.4,.043,.006,12,12
2020-07-10 02,부산 중구,광복동,221112,.002,.4,.04,.006,9,10
2020-07-10 03,부산 중구,광복동,221112,.003,.4,.033,.008,6,6
2020-07-10 04,부산 중구,광복동,221112,.003,.4,.015,.021,5,4
2020-07-10 05,부산 중구,광복동,221112,.003,.4,.013,.021,6,7
2020-07-10 06,부산 중구,광복동,221112,.004,.4,.013,.02,7,9
2020-07-10 07,부산 중구,광복동,221112,.004,.4,.009,.021,7,7
2020-07-10 08,부산 중구,광복동,221112,.003,.3,.011,.02,7,6
2020-07-10 09,부산 중구,광복동,221112,.003,.3,.025,.016,4,5
2020-07-10 10,부산 중구,광복동,221112,.002,.4,.024,.015,2,2
2020-07-10 11,부산 중구,광복동,221112,.002,.5,.009,.02,2,2
2020-07-10 12,부산 중구,광복동,221112,.003,.4,.006,.02,2,2
2020-07-10 13,부산 중구,광복동,221112,.003,.4,.008,.017,2,2
2020-07-10 14,부산 중구,광복동,221112,.002,.3,.012,.014,2,2
2020-07-10 15,부산 중구,광복동,221112,.002,.3,.015,.011,2,2
2020-07-10 16,부산 중구,광복동,221112,.003,.3,.016,.012,2,2
2020-07-10 17,부산 중구,광복동,221112,.003,.4,.025,.011,15,4
2020-07-10 18,부산 중구,광복동,221112,.003,.4,.022,.014,11,10
2020-07-10 19,부산 중구,광복동,221112,.003,.4,.021,.016,14,8
2020-07-10 20,부산 중구,광복동,221112,.003,.4,.027,.014,22,7
2020-07-10 21,부산 중구,광복동,221112,.003,.4,.024,.015,18,8
2020-07-10 22,부산 중구,광복동,221112,.003,.4,.017,.017,22,11
2020-07-10 23,부산 중구,광복동,221112,.003,.4,.011,.021,20,11
2020-07-10 24,부산 중구,광복동,221112,.003,.4,.021,.015,25,11
2020-07-11 01,부산 중구,광복동,221112,.003,.3,.016,.014,15,14
2020-07-11 02,부산 중구,광복동,221112,.003,.3,.014,.014,18,12
2020-07-11 03,부산 중구,광복동,221112,.003,.4,.014,.015,17,18
2020-07-11 04,부산 중구,광복동,221112,.003,.4,.015,.014,24,16
2020-07-11 05,부산 중구,광복동,221112,.003,.4,.019,.012,25,15
2020-07-11 06,부산 중구,광복동,221112,.003,.4,.02,.013,24,19
2020-07-11 07,부산 중구,광복동,221112,.003,.4,.012,.02,21,17
